Español,English
angustia,anguish
angustiado,anguished
angustiarse,anguished
angustiosa,distressing
angustioso,distressing
anhelado,longed-for
anhelante,longing
anhelar,yearn
anhelo,longing
animado,animated
animadversión,animosity
animarse,cheer
ánimo,spirit
animosidad,animosity
animoso,spirited
ansiar,yearn
ansiedad,anxiety
ansioso,anxious
antagónico,antagonistic
antipatía,dislike
antipático,unpleasant
antojar,fancy
antojo,craving
añorado,missed
añoranza,longing
añorar,miss
apaciguado,appeased
apaciguamiento,appeasement
apaciguarse,calm
apasionado,passionate
apasionante,thrilling
apasionarse,passionate
apatía,apathy
apático,apathetic
apegado,attached
apegar,attach
apego,attachment
apenado,saddened
apenarse,sadden
apesadumbrado,sorrowful
apesadumbrarse,sorrowful
apetecer,crave
apetecible,appetizing
apetencia,craving
apiadarse,pity
apreciable,appreciable
apreciado,appreciated
apreciar,appreciate
aprecio,appreciation
aprensión,apprehension
aprensivo,apprehensive
aprobación,approval
apurado,distressed
apuro,distress
aquietado,calmed
ardiente,ardent
ardor,ardor
armonía,harmony
armonioso,harmonious
armonizar,harmonize
arrebatado,impulsive
arrebatarse,rage
arrebato,outburst
arrepentido,repentant
arrepentimiento,repentance
arrepentirse,regret
arrogancia,arrogance
arrogante,arrogant
arrojo,boldness
asco,disgust
asombrado,astonished
asombrarse,astonished
asombro,astonishment
asqueado,disgusted
asquear,disgust
asqueroso,disgusting
astenia,asthenia
asustado,scared
asustarse,scare
atemorizado,terrified
atemorizarse,frightened
aterrado,terrified
aterrador,terrifying
aterrarse,terrified
aterrorizado,terrorized
atónito,astonished
atontado,dazed
atontamiento,daze
atontar,daze
atormentado,tormented
atormentarse,torment
atracción,attraction
atractivo,attractive
atraído,attracted
atrayente,attractive
atreverse,dare
atrevido,daring
atrevimiento,boldness
aturdido,stunned
aturdimiento,bewilderment
aturdirse,stunned
audacia,audacity
audaz,audacious
autocompasión,self-pity
autoconfiado,self-confident
autoconfianza,self-confidence
autoestima,self-esteem
autosatisfacción,self-satisfaction
autosuficiencia,self-sufficiency
autosuficiente,self-sufficient
avaricia,greed
avaricioso,greedy
avergonzado,ashamed
avergonzar,shame
avergonzarse,shame
aversión,aversion
aversivo,aversive
azorado,flustered
azoramiento,embarrassment
azorarse,flustered
bajón,slump
benevolencia,benevolence
benevolente,benevolent
benévolo,benevolent
bienestar,well-being
bienhumorado,good-humored
bochorno,embarrassment
bondad,kindness
bondadoso,kind
buena,good
bueno,good
burlado,mocked
cabizbajo,downcast
cabreado,annoyed
cabrearse,annoy
cabreo,annoyance
cachondear,fool
cachondeo,mockery
cachondez,horniness
cachondo,horny
calma,calm
calmado,calm
calmarse,calm
calmo,calm
cansado,tired
cansancio,tiredness
cansar,tire
capricho,whim
caprichoso,capricious
cariño,affection
cariñoso,affectionate
cautela,caution
cauteloso,cautious
cautivado,captivated
cautivar,captivate
celo,zeal
celos,jealousy
celoso,jealous
cínico,cynical
cinismo,cynicism
cobarde,cowardly
cobardía,cowardice
codicia,greed
codiciar,covet
codicioso,covetous
cohibición,inhibition
cohibido,inhibited
cohibirse,inhibit
cólera,wrath
colérico,choleric
cómoda,comfortable
comodidad,comfort
cómodo,comfortable
compadecerse,sympathize
compasión,compassion
compasivo,compassionate
complacencia,complacency
complacerse,delight
complacido,pleased
complaciente,obliging
comprendido,understood
comprensión,understanding
comprensivo,understanding
condescendencia,condescension
condescender,condescend
condescendiente,condescending
condolecer,condole
condolencia,condolence
condolerse,sympathize
confiado,confident
confianza,trust
confiar,trust
conformarse,resign
conforme,content
conformidad,conformity
confort,comfort
confortable,comfortable
confortado,comforted
confortar,comfort
confundido,confused
confundirse,confused
confusión,confusion
confuso,confused
congoja,anguish
conmiseración,commiseration
conmiserativo,commiserating
conmocionado,shocked
conmovedor,moving
conmoverse,moved
conmovido,moved
consentido,spoiled
consolado,consoled
consolarse,console
consternación,consternation
consternado,dismayed
consternarse,dismayed
consuelo,consolation
contento,happy
contrariado,annoyed
contrariarse,annoyed
contrariedad,annoyance
contrición,contrition
contrito,contrite
conturbación,disturbance
conturbado,disturbed
conturbarse,disturbed
coraje,courage
cuidadoso,careful
culpa,guilt
culpabilidad,guilt
culpable,guilty
culparse,blame
curiosear,snoop
curiosidad,curiosity
curioso,curious
dañado,damaged
dañar,harm
dañino,harmful
daño,harm
decaer,decline
decaído,downcast
decaimiento,decline
decepción,disappointment
decepcionado,disappointed
decepcionante,disappointing
decepcionarse,disappointed
decidido,determined
defraudado,disappointed
defraudarse,disappointed
degradación,degradation
degradado,degraded
degradar,degrade
deleitado,delighted
deleitarse,delight
deleite,delight
delirante,delirious
delirar,delirious
delirio,delirium
deplorable,deplorable
deplorado,deplored
deplorar,deplore
depresión,depression
depresivo,depressive
deprimente,depressing
deprimido,depressed
deprimirse,depressed
derrota,defeat
derrotado,defeated
derrotar,defeat
desafecto,disaffection
desafiante,defiant
desafiar,defy
desafío,challenge
desafortunado,unfortunate
desagradable,unpleasant
desagradarse,displeased
desagrado,displeasure
desahogado,relieved
desahogarse,vent
desahogo,relief
desairado,snubbed
desairar,snub
desaire,snub
desalentado,discouraged
desalentador,discouraging
desalentarse,discouraged
desaliento,discouragement
desamor,lovelessness
desamparado,helpless
desamparar,abandon
desamparo,helplessness
desanimado,disheartened
desanimarse,disheartened
desánimo,discouragement
desaprensión,unscrupulousness
desaprensivo,unscrupulous
desaprobación,disapproval
desaprobado,disapproved
desaprobar,disapprove
desasosegado,restless
desasosegarse,restless
desasosiego,restlessness
desazón,uneasiness
desazonado,uneasy
desazonarse,uneasy
desconcertado,disconcerted
desconcertante,disconcerting
desconcertarse,disconcerted
desconcierto,bewilderment
desconfiado,distrustful
desconfianza,distrust
desconfiar,distrust
desconsolado,disconsolate
desconsolarse,disconsolate
desconsuelo,grief
descontentar,displease
descontento,discontent
descorazonado,disheartened
descorazonarse,disheartened
descuidado,careless
descuidarse,careless
descuido,carelessness
desdén,disdain
desdeñado,disdained
desdeñar,disdain
desdicha,misfortune
desdichado,unfortunate
desear,desire
desenamorado,disenamored
desenamorarse,disenamor
desencantado,disenchanted
desencantarse,disenchanted
desencanto,disenchantment
desenfadado,carefree
desenfadarse,calm
desenfado,ease
desengañado,disillusioned
desengañarse,disillusioned
desengaño,disillusionment
deseo,desire
deseoso,eager
desesperación,desperation
desesperado,desperate
desesperanza,hopelessness
desesperanzado,hopeless
desesperanzarse,despair
desesperar,despair
desestabilizado,destabilized
desestabilizarse,destabilized
desgana,reluctance
desganado,unwilling
desganarse,flag
desgracia,misfortune
desgraciado,unfortunate
desgraciar,ruin
deshonra,dishonor
deshonrado,dishonored
deshonrar,dishonor
desidia,laziness
desilusión,disillusionment
desilusionado,disillusioned
desleal,disloyal
deslealtad,disloyalty
deslumbrado,dazzled
deslumbramiento,dazzlement
deslumbrarse,dazzled
desmoralizado,demoralized
desmoralizarse,demoralized
desmotivación,demotivation
desmotivado,unmotivated
desmotivarse,unmotivated
desolación,desolation
desolado,desolate
desolar,devastate
desorientación,disorientation
desorientado,disoriented
desorientarse,disoriented
despistado,absent-minded
despistar,mislead
despiste,absent-mindedness
despreciable,despicable
despreciado,despised
despreciar,despise
desprecio,contempt
despreocupación,unconcern
despreocupado,carefree
despreocuparse,unwind
destrozado,devastated
destrozarse,devastated
detestable,detestable
detestado,detested
detestar,detest
devastación,devastation
devastado,devastated
devastar,devastate
dicha,happiness
dichoso,happy
disconforme,dissenting
disconformidad,disagreement
disforia,dysphoria
disfórico,dysphoric
disfrutar,enjoy
disfrute,enjoyment
disgustado,upset
disgustarse,upset
disgusto,annoyance
displacer,displeasure
displicente,indifferent
dispuesto,willing
distraído,distracted
disuadido,dissuaded
diversión,fun
divertido,amused
divertir,amuse
dócil,docile
docilidad,docility
doler,hurt
dolido,hurt
dolor,pain
dolorido,sore
doloroso,painful
dramático,dramatic
duda,doubt
dudoso,doubtful
duelo,grief
dureza,harshness
duro,harsh
efervescencia,effervescence
efervescente,effervescent
efusión,effusion
efusividad,effusiveness
efusivo,effusive
embelesado,enraptured
embelesamiento,rapture
embelesarse,enraptured
embeleso,rapture
embriagado,intoxicated
embriagarse,intoxicated
embriago,intoxicated
emoción,emotion
emocionado,moved
emocional,emotional
emocionante,exciting
emocionarse,emote
emotividad,emotiveness
emotivo,emotional
empatía,empathy
empático,empathetic
empatizar,empathize
empeñado,determined
empeñarse,insist
empeño,determination
enajenación,alienation
enajenado,alienated
enajenarse,alienated
enamorado,smitten
enamoramiento,infatuation
enamorarse,enamor
enardecerse,inflamed
enardecido,inflamed
enardecimiento,excitement
encandilado,dazzled
encandilamiento,dazzlement
encandilarse,dazzled
encantado,delighted
encantar,delight
encanto,charm
encaprichado,infatuated
encaprichamiento,infatuation
encapricharse,infatuated
encariñado,fond
encariñarse,fond
encolerizado,enraged
encolerizarse,enraged
encrespado,ruffled
encrespamiento,irritation
encresparse,ruffled
endurecerse,harden
endurecido,hardened
enemistad,enmity
enemistarse,alienate
energía,energy
enérgico,energetic
energizarse,energize
enervado,enervated
enervarse,enervated
enfadado,angry
enfadarse,anger
enfado,anger
enfurecerse,furious
enfurecido,furious
enfurecimiento,fury
enfurruñado,sulky
enfurruñamiento,sulkiness
enfurruñarse,sulk
engañado,deceived
engañar,deceive
engaño,deception
engrandecer,exalt
enloquecer,madden
enojado,angry
enojarse,anger
enojo,anger
enorgullecerse,pride
enrabietar,enrage
enrabietarse,fume
enternecerse,moved
enternecido,touched
entretenido,entertained
entretenimiento,entertainment
entristecerse,sad
entusiasmado,enthusiastic
entusiasmarse,enthusiastic
entusiasmo,enthusiasm
entusiasta,enthusiastic
envalentonado,emboldened
envalentonarse,emboldened
envidia,envy
envidiar,envy
envidiosa,envious
envidioso,envious
escalofrío,shiver
escandalizado,scandalized
escrúpulo,scruple
escrupuloso,scrupulous
espabilado,sharp-witted
espantado,frightened
espantarse,frightened
espanto,fright
espantoso,frightful
esperanza,hope
esperanzado,hopeful
esperanzador,hopeful
esperanzarse,hopeful
estabilidad,stability
estable,stable
estima,esteem
estimado,esteemed
estimar,esteem
estimulado,stimulated
estimularse,stimulated
estremecerse,shudder
estremecimiento,shudder
estrés,stress
estresado,stressed
estupefacción,stupefaction
estupefacto,stupefied
estupor,stupor
euforia,euphoria
eufórico,euphoric
exacerbación,exacerbation
exacerbado,exacerbated
exaltación,exaltation
exaltado,excited
exaltarse,agitate
exasperación,exasperation
exasperado,exasperated
exasperarse,exasperated
excitación,excitement
excitado,excited
excitante,exciting
éxito,success
exitosa,successful
exitoso,successful
expectación,expectation
expectante,expectant
extasiarse,enraptured
éxtasis,ecstasy
extático,ecstatic
extrañado,surprised
extrañar,miss
extrañeza,surprise
exultación,exultation
exultante,exultant
exultar,exult
fascinación,fascination
fascinado,fascinated
fascinante,fascinating
fascinar,fascinate
fastidiado,annoyed
fastidiarse,annoyed
fastidio,annoyance
fatiga,fatigue
fatigado,fatigued
felicidad,happiness
felicitar,congratulate
feliz,happy
fenomenal,phenomenal
ferviente,fervent
fervor,fervor
fervoroso,fervent
fidelidad,fidelity
fiel,faithful
firme,firm
firmeza,firmness
flojear,slack
flojera,laziness
flojo,lazy
fobia,phobia
fóbico,phobic
fogosidad,fieriness
fogoso,fiery
formidable,formidable
fracasado,failed
fracasar,fail
fracaso,failure
frágil,fragile
fragilidad,fragility
frenesí,frenzy
frenético,frenetic
frialdad,coldness
frustración,frustration
frustrado,frustrated
frustrarse,frustrated
fuerte,strong
fuerza,strength
funesto,ill-fated
furia,fury
furioso,furious
furor,fury
generosidad,generosity
generoso,generous
goce,enjoyment
gozar,enjoy
gozo,joy
gozoso,joyful
gracia,grace
gracioso,funny
grandiosidad,grandiosity
grandioso,grandiose
gratificado,gratified
grima,revulsion
grimoso,unpleasant
gustar,like
gusto,pleasure
gustoso,pleased
hartarse,tire
hartazgo,surfeit
harto,fed-up
hastiado,weary
hastiarse,weary
hastío,weariness
hechizado,bewitched
hechizar,bewitch
herida,wound
herido,wounded
herir,wound
hiperactividad,hyperactivity
hiperactivo,hyperactive
histeria,hysteria
histérico,hysterical
honra,honor
honrado,honest
honrar,honor
horrible,horrible
horror,horror
horrorizado,horrified
horrorizarse,horrified
horroroso,horrific
hostil,hostile
hostilidad,hostility
humillación,humiliation
humillado,humiliated
humillante,humiliating
humillarse,grovel
humor,mood
huraño,unsociable
ilusión,hope
ilusionado,hopeful
ilusionarse,hope
impaciencia,impatience
impacientarse,impatient
impaciente,impatient
impactado,impacted
impactarse,shocked
impacto,impact
impasible,impassive
imperturbable,imperturbable
importante,important
impotencia,powerlessness
impotente,powerless
impresión,impression
impresionado,impressed
impresionante,impressive
impulsado,driven
impulsivo,impulsive
impulso,impulse
incertidumbre,uncertainty
incierto,uncertain
incitado,incited
incomodarse,uncomfortable
incomodidad,discomfort
incómodo,uncomfortable
inconforme,nonconformist
inconsolable,inconsolable
indecisión,indecision
indeciso,indecisive
indefensión,helplessness
indefenso,defenseless
indiferencia,indifference
indiferente,indifferent
indignación,indignation
indignado,indignant
indignarse,indignant
indispuesto,unwell
inestabilidad,instability
inestable,unstable
infelicidad,unhappiness
infeliz,unhappy
inflamación,inflammation
inflamado,inflamed
inquietarse,worried
inquieto,restless
inquietud,worry
insatisfacción,dissatisfaction
insatisfecho,dissatisfied
inseguridad,insecurity
inseguro,insecure
insensibilidad,insensitivity
insensibilizarse,numb
insensible,insensitive
inspiración,inspiration
inspirado,inspired
inspirarse,inspired
intenso,intense
interés,interest
interesado,interested
interesarse,interested
intimidación,intimidation
intimidado,intimidated
intimidar,intimidate
intranquilidad,unease
intranquilizarse,uneasy
intranquilo,uneasy
intriga,intrigue
intrigado,intrigued
intrigarse,intrigued
ira,wrath
iracundo,wrathful
irascible,irascible
irritable,irritable
irritación,irritation
irritado,irritated
irritarse,irritated
jocosidad,jocularity
jocoso,jocular
júbilo,jubilation
jubiloso,jubilant
lamentar,lament
lamento,lament
languidecer,languish
languidez,languor
lánguido,languid
lascivia,lasciviousness
lascivo,lascivious
lasitud,lassitude
lástima,pity
lastimado,hurt
lastimar,hurt
lastimero,pitiful
lastimoso,pitiful
leal,loyal
lealtad,loyalty
libertad,freedom
libidinoso,libidinous
libre,free
llorar,cry
loco,crazy
locura,madness
luctuoso,mournful
lúgubre,gloomy
lujuria,lust
lujurioso,lustful
malestar,discomfort
malhumor,grumpiness
malhumorarse,ill-humored
malicia,malice
malicioso,malicious
maravillado,amazed
maravillarse,marvel
marginación,marginalization
marginado,marginalized
marginar,marginalize
meditabundo,pensive
medroso,fearful
melancolía,melancholy
melancólico,melancholic
melodramático,melodramatic
menospreciado,belittled
menospreciar,belittle
menosprecio,contempt
miedo,fear
miedoso,fearful
mimar,pamper
mimosa,affectionate
mimoso,affectionate
miserable,miserable
miseria,misery
misericordia,mercy
misericordioso,merciful
moderado,moderate
molestar,bother
molestia,annoyance
molesto,annoyed
morbo,prurience
morbosa,morbid
morbosidad,morbidity
morboso,morbid
morriña,homesickness
mortificación,mortification
mortificado,mortified
mortificarse,mortified
mosqueado,annoyed
mosquearse,annoy
mosqueo,annoyance
motivación,motivation
motivado,motivated
motivarse,motivated
mustio,withered
náusea,nausea
nauseabundo,nauseating
negatividad,negativity
negativo,negative
negligente,negligent
nerviosismo,nervousness
nervioso,nervous
neurosis,neurosis
neurótico,neurotic
nostalgia,nostalgia
nostálgico,nostalgic
obnubilación,confusion
obnubilado,dazed
obnubilarse,dazed
obsesión,obsession
obsesionado,obsessed
obsesionarse,obsessed
obstinación,obstinacy
obstinado,obstinate
obstinarse,persist
odiado,hated
odiar,hate
odio,hatred
odioso,hateful
ofenderse,offend
ofendido,offended
ofensa,offense
ofensivo,offensive
ofuscado,confused
ofuscamiento,confusion
ofuscarse,confused
ojeriza,grudge
opresión,oppression
oprimido,oppressed
optimismo,optimism
optimista,optimistic
orgullo,pride
orgulloso,proud
orientado,oriented
osado,daring
osar,dare
paciencia,patience
paciente,patient
pacífico,peaceful
pánico,panic
parálisis,paralysis
paralizado,paralyzed
paroxismo,paroxysm
paroxístico,paroxysmal
pasión,passion
pasional,passionate
pasividad,passivity
pasivo,passive
pasmado,astonished
pasmarse,astonished
pasmo,astonishment
pavor,dread
pavoroso,dreadful
paz,peace
peligro,danger
peligroso,dangerous
pena,sorrow
penoso,distressing
perdón,forgiveness
perdonado,forgiven
perdonar,forgive
pereza,laziness
perezoso,lazy
perplejidad,perplexity
perplejo,perplexed
perturbación,disturbance
perturbado,disturbed
perturbarse,disturbed
pesadumbre,grief
pesar,regret
pesimismo,pessimism
pesimista,pessimistic
piadoso,pious
piedad,pity
placentero,pleasant
placer,pleasure
placidez,placidity
plácido,placid
plenitud,fullness
pleno,full
pletórico,overflowing
positividad,positivity
positivo,positive
preocupación,worry
preocupado,worried
preocuparse,worry
prepotencia,arrogance
prepotente,arrogant
problemático,problematic
protector,protective
protegido,protected
provocación,provocation
provocado,provoked
provocar,provoke
prudencia,prudence
prudente,prudent
pusilánime,faint-hearted
pusilanimidad,faintheartedness
queja,complaint
quejoso,complaining
querencia,fondness
querer,love
querido,dear
quieto,still
quietud,stillness
rabia,rage
rabiar,rage
rabieta,tantrum
rabioso,furious
radiante,radiant
reacio,reluctant
rebelarse,rebel
rebelde,rebellious
rebeldía,rebelliousness
recelar,distrust
recelo,distrust
receloso,distrustful
receptivo,receptive
rechazado,rejected
rechazar,reject
rechazo,rejection
reconfortado,comforted
reconfortarse,comfort
reflexivo,reflective
regocijado,delighted
regocijarse,rejoice
regocijo,rejoicing
relajación,relaxation
relajado,relaxed
relajante,relaxing
relajarse,relax
relax,relaxation
remordimiento,remorse
rencor,resentment
rencoroso,resentful
rendición,surrender
rendido,exhausted
rendirse,surrender
reposado,calm
reposar,rest
reposo,rest
repudiado,repudiated
repudiar,repudiate
repudio,repudiation
repugnado,disgusted
repugnancia,repugnance
repugnante,repugnant
repugnar,disgust
repulsa,rebuke
repulsado,repulsed
repulsión,repulsion
resentido,resentful
resentimiento,resentment
resentirse,suffer
resignación,resignation
resignado,resigned
respetar,respect
respeto,respect
respetuoso,respectful
responsable,responsible
resquemado,resentful
resquemar,rankle
resquemor,resentment
reticencia,reticence
retracción,retraction
retraerse,withdraw
retraído,withdrawn
revuelto,upset
ridiculizar,ridicule
ridículo,ridiculous
risueño,cheerful
romántico,romantic
rubor,blush
ruborizado,blushing
ruborizar,redden
salvaje,wild
satisfacción,satisfaction
satisfacerse,satisfied
satisfactoria,satisfactory
satisfecho,satisfied
seducción,seduction
seducido,seduced
seguridad,security
seguro,sure
sensibilidad,sensitivity
sensibilizarse,sensitized
sensible,sensitive
sensual,sensual
sensualidad,sensuality
sentimental,sentimental
sentimiento,feeling
sentir,feel
serenarse,calm
serenidad,serenity
sereno,serene
seriedad,seriousness
severo,severe
shock,shock
simpatía,friendliness
simpático,nice
simpatizar,sympathize
sinceridad,sincerity
sincero,sincere
soberbia,arrogance
soberbio,arrogant
sobrecogerse,overcome
sobrecogido,overcome
sobrecogimiento,awe
sobresaltado,startled
sobresaltarse,startled
sobresalto,fright
sofocación,suffocation
sofocado,suffocated
sofocarse,suffocate
sofoco,flush
soledad,loneliness
solidaridad,solidarity
solidario,supportive
solitario,solitary
solo,alone
sombrío,gloomy
sorprendente,surprising
sorprenderse,surprised
sorpresa,surprise
sosegado,calm
sosegarse,settle
sosiego,calm
sospechoso,suspicious
suavidad,softness
suficiencia,sufficiency
suficiente,sufficient
sufrido,long-suffering
sufrimiento,suffering
sufrir,suffer
susceptibilidad,susceptibility
susceptible,susceptible
suspense,suspense
susto,scare
taciturno,taciturn
tedio,tedium
tedioso,tedious
temblar,tremble
temblor,tremor
tembloroso,trembling
temer,fear
temeroso,fearful
temor,fear
temperamental,temperamental
templado,temperate
templanza,temperance
tenacidad,tenacity
tenaz,tenacious
tensión,tension
tenso,tense
ternura,tenderness
terrible,terrible
terror,terror
tierno,tender
timidez,shyness
tímido,shy
timorato,timorous
tirria,dislike
titubeante,hesitant
titubear,hesitate
titubeo,hesitation
tormento,torment
torpe,clumsy
torpeza,clumsiness
torturado,tortured
tozudez,stubbornness
tozudo,stubborn
tragedia,tragedy
trágico,tragic
traición,betrayal
traicionado,betrayed
tranquilidad,tranquility
tranquilizarse,calm
tranquilo,calm
triste,sad
tristeza,sadness
triunfante,triumphant
triunfar,triumph
triunfo,triumph
turbación,confusion
turbado,confused
turbarse,flustered
turbulento,turbulent
ultrajado,outraged
ultrajar,outrage
ultraje,outrage
vacilación,hesitation
vacilado,teased
vacilante,hesitant
vacilar,hesitate
vacío,empty
valentía,courage
valiente,brave
valor,courage
vanidad,vanity
vanidoso,vain
vehemencia,vehemence
vehemente,vehement
vencida,defeated
vencido,defeated
veneración,veneration
venerado,revered
venerar,venerate
venganza,revenge
vengar,avenge
vengativo,vengeful
venturoso,fortunate
vergonzoso,shameful
vergüenza,shame
victoria,victory
victorioso,victorious
vigilante,vigilant
vigor,vigor
vigorizarse,invigorated
vigoroso,vigorous
violencia,violence
violentarse,violent
violento,violent
vital,vital
vitalidad,vitality
vitalizar,vitalize
vulnerabilidad,vulnerability
vulnerable,vulnerable
